id,name,category,subcategory,address,lat,lng,phone,operating_hours,status,source_date
504,버드내노인복지관 2층,공중화장실,공중화장실,경기도 수원시 권선구 권선로564번길 36(세류동),37.2611251141,127.0120511065,,정시,영업,20231219
505,버드내노인복지관 3층,공중화장실,공중화장실,경기도 수원시 권선구 권선로564번길 36(세류동),37.2611251141,127.0120511065,,정시,영업,20231219
506,버드내노인복지관 4층,공중화장실,공중화장실,경기도 수원시 권선구 권선로564번길 36(세류동),37.2611251141,127.0120511065,,정시,영업,20231219
507,버드내노인복지관 지하1층 중앙,공중화장실,공중화장실,경기도 수원시 권선구 권선로564번길 36(세류동),37.2611251141,127.0120511065,,정시,영업,20231219
508,버드내노인복지관 지하1층 중앙,공중화장실,공중화장실,경기도 수원시 권선구 권선로564번길 36(세류동),37.2611251141,127.0120511065,,정시,영업,20231219
509,버드내도서관 2층,공중화장실,공중화장실,경기도 수원시 권선구 세권로 94번길 29(세류동),37.2568186703,127.0147853432,,정시,영업,20231219
510,법원주유소,공중화장실,공중화장실,경기도 수원시 영통구 중부대로 309(원천동),37.2736860673,127.0495869524,,정시,영업,20231219
511,봉화대,공중화장실,공중화장실,경기도 수원시 팔달구 창룡대로104번길158(남수동),37.281686102,127.0209316109,,상시,영업,20231219
512,경기상상캠퍼스,공중화장실,공중화장실,경기도 수원시 권선구 서둔로 166 (서둔동),37.266779513,126.985014166,,정시,영업,20231219
513,경기아트센터 대극장,공중화장실,공중화장실,경기도 수원시 팔달구 효원로307번길 20 (인계동),37.2614188559,127.0380891883,,정시,영업,20231219
514,경기아트센터 소극장,공중화장실,공중화장실,경기도 수원시 팔달구 효원로307번길 20 (인계동),37.2614188559,127.0380891883,,정시,영업,20231219
515,경수태평양충전소,공중화장실,공중화장실,경기도 수원시 권선구 수인로296번길 34 (구운동),37.2844973554,126.9719428413,,정시,영업,20231219
516,경진셀프주유소,공중화장실,공중화장실,경기도 수원시 장안구 경수대로 1059(파장동),37.3081835852,126.9962421687,,상시,영업,20231219
517,정자시장,공중화장실,개방화장실,경기도 수원시 장안구 장안로 89번길 47,37.290936658,126.9996966537,,상시,영업,20231219
518,조원빌딩,공중화장실,개방화장실,경기도 수원시 장안구 송원로 113(조원동),37.3044809166,127.0117823937,,상시,영업,20231219
519,중앙스포츠랜드,공중화장실,개방화장실,경기도 수원시 권선구 매송고색로 755(고색동),37.2528434436,126.9869696286,,상시,영업,20231219
520,지동시장,공중화장실,개방화장실,경기도 수원시 팔달구 팔달문로 19(지동),37.2779218633,127.0195905812,,정시,영업,20231219
